 time	name	instr.	   type
   10	 P4	   instr9	     GOLD
   40	 P4	   instr2	     GOLD
  120	 P4	  instr19	     GOLD
  180	 P7	   instr8	     GOLD
  200	 P7	   instr1	     GOLD
  290	 P7	  instr10	     GOLD
  340	 P9	  instr19	     GOLD
  390	 P9	  instr12	     GOLD
  450	 P9	   instr9	     GOLD
  490	 P4	   instr9	     GOLD
  520	 P4	   instr2	     GOLD
  600	 P4	     exit	     GOLD
  620	 P5	   instr9	   SILVER
  650	 P5	   instr2	   SILVER
  740	 P2	  instr18	 PLATINUM
  800	 P2	   instr2	 PLATINUM
  880	 P2	   instr5	 PLATINUM
  930	 P2	   instr6	 PLATINUM
  970	 P2	   instr5	 PLATINUM
 1020	 P2	   instr6	 PLATINUM
 1060	 P2	   instr5	 PLATINUM
 1110	 P2	   instr6	 PLATINUM
 1150	 P2	     exit	 PLATINUM
 1170	 P7	  instr11	     GOLD
 1220	 P7	   instr2	     GOLD
 1310	 P9	   instr1	     GOLD
 1400	 P9	   instr7	     GOLD
 1440	 P5	  instr19	   SILVER
 1490	 P5	   instr9	   SILVER
 1530	 P7	     exit	     GOLD
 1550	 P9	     exit	     GOLD
 1570	 P5	   instr2	   SILVER
 1650	 P5	   instr2	     GOLD
 1730	 P5	  instr19	     GOLD
 1780	 P5	   instr9	     GOLD
 1810	 P5	   instr2	     GOLD
 1890	 P5	  instr19	     GOLD
 1940	 P5	     exit	     GOLD
 1960	 P1	   instr1	     GOLD
 2050	 P1	  instr19	     GOLD
 2110	 P6	  instr10	     GOLD
 2150	 P6	   instr9	     GOLD
 2180	 P6	  instr20	     GOLD
 2220	 P6	  instr11	     GOLD
 2280	 P8	  instr14	     GOLD
 2360	 P8	   instr4	     GOLD
 2430	 P3	   instr8	     GOLD
 2450	 P3	   instr7	     GOLD
 2480	 P3	  instr12	     GOLD
 2540	 P3	  instr11	     GOLD
 2600	 P1	  instr15	     GOLD
 2690	 P1	  instr18	     GOLD
 2760	 P6	   instr4	     GOLD
 2820	 P6	   instr5	     GOLD
 2870	 P6	   instr7	     GOLD
 2910	 P8	   instr3	     GOLD
 2980	 P8	   instr1	     GOLD
 3080	 P3	  instr13	     GOLD
 3150	 P3	  instr16	     GOLD
 3240	 P1	   instr3	     GOLD
 3310	 P1	   instr2	     GOLD
 3400	 P6	  instr10	     GOLD
 3440	 P6	   instr9	     GOLD
 3470	 P6	  instr20	     GOLD
 3510	 P6	  instr11	     GOLD
 3570	 P8	     exit	     GOLD
 3590	 P3	  instr19	     GOLD
 3640	 P3	   instr8	     GOLD
 3660	 P3	   instr7	     GOLD
 3690	 P3	     exit	     GOLD
 3710	 P1	  instr20	     GOLD
 3750	 P1	  instr15	     GOLD
 3850	 P6	   instr4	     GOLD
 3910	 P6	   instr5	     GOLD
 3960	 P6	   instr7	     GOLD
 4000	 P1	  instr18	     GOLD
 4060	 P1	   instr3	     GOLD
 4130	 P1	   instr2	 PLATINUM
 4210	 P1	     exit	 PLATINUM
 4230	 P6	     exit	     GOLD
1953.33
2393.33
