 time	name	instr.	   type
   10	 P5	   instr9	     GOLD
   50	 P6	  instr10	 PLATINUM
   90	 P6	   instr9	 PLATINUM
  120	 P6	  instr20	 PLATINUM
  160	 P6	  instr11	 PLATINUM
  210	 P6	   instr4	 PLATINUM
  270	 P6	   instr5	 PLATINUM
  320	 P6	   instr7	 PLATINUM
  350	 P6	  instr10	 PLATINUM
  390	 P6	   instr9	 PLATINUM
  420	 P6	  instr20	 PLATINUM
  460	 P6	  instr11	 PLATINUM
  510	 P6	   instr4	 PLATINUM
  570	 P6	   instr5	 PLATINUM
  620	 P6	   instr7	 PLATINUM
  650	 P6	     exit	 PLATINUM
  670	 P7	   instr8	 PLATINUM
  690	 P7	   instr1	 PLATINUM
  780	 P7	  instr10	 PLATINUM
  820	 P7	  instr11	 PLATINUM
  870	 P7	   instr2	 PLATINUM
  950	 P7	     exit	 PLATINUM
  970	 P8	  instr14	     GOLD
 1050	 P8	   instr4	     GOLD
 1120	 P5	   instr2	     GOLD
 1200	 P5	  instr19	     GOLD
 1260	 P8	   instr3	     GOLD
 1330	 P8	   instr1	     GOLD
 1430	 P5	   instr9	     GOLD
 1460	 P5	   instr2	     GOLD
 1540	 P5	   instr2	     GOLD
 1630	 P8	     exit	     GOLD
 1650	 P5	  instr19	     GOLD
 1700	 P5	   instr9	     GOLD
 1730	 P5	   instr2	     GOLD
 1810	 P5	  instr19	     GOLD
 1860	 P5	     exit	     GOLD
 1880	 P3	   instr8	   SILVER
 1900	 P3	   instr7	   SILVER
 1930	 P3	  instr12	   SILVER
 1990	 P3	  instr11	   SILVER
 2040	 P3	  instr13	   SILVER
 2110	 P3	  instr16	   SILVER
 2190	 P3	  instr19	     GOLD
 2240	 P3	   instr8	     GOLD
 2260	 P3	   instr7	     GOLD
 2290	 P3	     exit	     GOLD
 2310	 P2	  instr18	   SILVER
 2380	 P9	  instr19	 PLATINUM
 2430	 P9	  instr12	 PLATINUM
 2490	 P9	   instr9	 PLATINUM
 2520	 P9	   instr1	 PLATINUM
 2610	 P9	   instr7	 PLATINUM
 2640	 P9	     exit	 PLATINUM
 2660	 P2	   instr2	   SILVER
 2740	 P2	   instr5	   SILVER
 2790	 P2	   instr6	   SILVER
 2830	 P2	   instr5	     GOLD
 2880	 P2	   instr6	     GOLD
 2920	 P2	   instr5	     GOLD
 2970	 P2	   instr6	     GOLD
 3010	 P2	     exit	     GOLD
 3030	 P1	   instr1	     GOLD
 3120	 P1	  instr19	     GOLD
 3170	 P1	  instr15	     GOLD
 3260	 P1	  instr18	     GOLD
 3320	 P1	   instr3	     GOLD
 3390	 P1	   instr2	     GOLD
 3470	 P1	  instr20	     GOLD
 3510	 P1	  instr15	     GOLD
 3600	 P1	  instr18	     GOLD
 3660	 P1	   instr3	     GOLD
 3730	 P1	   instr2	 PLATINUM
 3810	 P1	     exit	 PLATINUM
1362.38
1822.38
