 time	name	instr.	   type
   10	 P1	   instr1	   SILVER
  110	 P2	  instr18	   SILVER
  170	 P2	   instr2	   SILVER
  260	 P3	   instr8	   SILVER
  280	 P3	   instr7	   SILVER
  310	 P3	  instr12	   SILVER
  380	 P1	  instr19	   SILVER
  430	 P1	  instr15	   SILVER
  530	 P2	   instr5	   SILVER
  580	 P2	   instr6	   SILVER
  630	 P3	  instr11	   SILVER
  680	 P3	  instr13	   SILVER
  760	 P6	  instr10	 PLATINUM
  800	 P6	   instr9	 PLATINUM
  830	 P6	  instr20	 PLATINUM
  870	 P6	  instr11	 PLATINUM
  920	 P6	   instr4	 PLATINUM
  980	 P6	   instr5	 PLATINUM
 1030	 P6	   instr7	 PLATINUM
 1060	 P6	  instr10	 PLATINUM
 1100	 P6	   instr9	 PLATINUM
 1130	 P6	  instr20	 PLATINUM
 1170	 P6	  instr11	 PLATINUM
 1220	 P6	   instr4	 PLATINUM
 1280	 P6	   instr5	 PLATINUM
 1330	 P6	   instr7	 PLATINUM
 1360	 P6	     exit	 PLATINUM
 1380	 P7	   instr8	 PLATINUM
 1400	 P7	   instr1	 PLATINUM
 1490	 P7	  instr10	 PLATINUM
 1530	 P7	  instr11	 PLATINUM
 1580	 P7	   instr2	 PLATINUM
 1660	 P7	     exit	 PLATINUM
 1680	 P1	  instr18	   SILVER
 1740	 P1	   instr3	   SILVER
 1820	 P2	   instr5	   SILVER
 1870	 P2	   instr6	   SILVER
 1920	 P3	  instr16	   SILVER
 2010	 P8	  instr14	 PLATINUM
 2090	 P8	   instr4	 PLATINUM
 2150	 P8	   instr3	 PLATINUM
 2220	 P8	   instr1	 PLATINUM
 2310	 P8	     exit	 PLATINUM
 2330	 P9	  instr19	 PLATINUM
 2380	 P9	  instr12	 PLATINUM
 2440	 P9	   instr9	 PLATINUM
 2470	 P9	   instr1	 PLATINUM
 2560	 P9	   instr7	 PLATINUM
 2590	 P9	     exit	 PLATINUM
 2610	 P1	   instr2	     GOLD
 2690	 P1	  instr20	     GOLD
 2740	 P2	   instr5	     GOLD
 2790	 P2	   instr6	     GOLD
 2830	 P2	     exit	     GOLD
 2850	 P3	  instr19	     GOLD
 2900	 P3	   instr8	     GOLD
 2920	 P3	   instr7	     GOLD
 2950	 P3	     exit	     GOLD
 2970	 P1	  instr15	     GOLD
 3060	 P1	  instr18	     GOLD
 3120	 P1	   instr3	     GOLD
 3190	 P1	   instr2	     GOLD
 3270	 P1	     exit	     GOLD
 3290	 P4	   instr9	     GOLD
 3320	 P4	   instr2	     GOLD
 3400	 P4	  instr19	     GOLD
 3460	 P5	   instr9	     GOLD
 3490	 P5	   instr2	     GOLD
 3570	 P5	  instr19	     GOLD
 3630	 P4	   instr9	     GOLD
 3660	 P4	   instr2	     GOLD
 3740	 P4	     exit	     GOLD
 3760	 P5	   instr9	     GOLD
 3790	 P5	   instr2	     GOLD
 3870	 P5	   instr2	     GOLD
 3950	 P5	  instr19	     GOLD
 4000	 P5	   instr9	     GOLD
 4030	 P5	   instr2	     GOLD
 4110	 P5	  instr19	     GOLD
 4160	 P5	     exit	     GOLD
1704.44
2144.44
