 time	name	instr.	   type
   10	 P1	   instr1	     GOLD
  100	 P1	  instr19	     GOLD
  160	 P2	  instr18	     GOLD
  220	 P2	   instr2	     GOLD
  310	 P4	   instr9	     GOLD
  340	 P4	   instr2	     GOLD
  420	 P4	  instr19	     GOLD
  480	 P5	   instr9	     GOLD
  510	 P5	   instr2	     GOLD
  590	 P5	  instr19	     GOLD
  650	 P1	  instr15	     GOLD
  740	 P1	  instr18	     GOLD
  810	 P2	   instr5	     GOLD
  860	 P2	   instr6	     GOLD
  900	 P2	   instr5	     GOLD
  960	 P4	   instr9	     GOLD
  990	 P4	   instr2	     GOLD
 1070	 P4	     exit	     GOLD
 1090	 P5	   instr9	     GOLD
 1120	 P5	   instr2	     GOLD
 1200	 P5	   instr2	     GOLD
 1290	 P1	   instr3	     GOLD
 1360	 P1	   instr2	     GOLD
 1450	 P2	   instr6	     GOLD
 1490	 P2	   instr5	     GOLD
 1540	 P2	   instr6	     GOLD
 1590	 P5	  instr19	     GOLD
 1640	 P5	   instr9	     GOLD
 1670	 P5	   instr2	     GOLD
 1760	 P1	  instr20	     GOLD
 1800	 P1	  instr15	     GOLD
 1900	 P2	     exit	     GOLD
 1920	 P5	  instr19	     GOLD
 1970	 P5	     exit	     GOLD
 1990	 P1	  instr18	     GOLD
 2050	 P1	   instr3	     GOLD
 2120	 P1	   instr2	 PLATINUM
 2200	 P1	     exit	 PLATINUM
1280
1795
