 time	name	instr.	   type
   10	 P1	   instr1	     GOLD
  100	 P1	  instr19	     GOLD
  160	 P5	   instr9	     GOLD
  190	 P5	   instr2	     GOLD
  270	 P5	  instr19	     GOLD
  330	 P4	   instr9	     GOLD
  360	 P4	   instr2	     GOLD
  440	 P4	  instr19	     GOLD
  500	 P2	  instr18	     GOLD
  560	 P2	   instr2	     GOLD
  650	 P1	  instr15	     GOLD
  740	 P1	  instr18	     GOLD
  810	 P5	   instr9	     GOLD
  840	 P5	   instr2	     GOLD
  920	 P5	   instr2	     GOLD
 1010	 P4	   instr9	     GOLD
 1040	 P4	   instr2	     GOLD
 1120	 P4	     exit	     GOLD
 1140	 P2	   instr5	     GOLD
 1190	 P2	   instr6	     GOLD
 1230	 P2	   instr5	     GOLD
 1290	 P1	   instr3	     GOLD
 1360	 P1	   instr2	     GOLD
 1450	 P5	  instr19	     GOLD
 1500	 P5	   instr9	     GOLD
 1530	 P5	   instr2	     GOLD
 1620	 P2	   instr6	     GOLD
 1660	 P2	   instr5	     GOLD
 1710	 P2	   instr6	     GOLD
 1760	 P1	  instr20	     GOLD
 1800	 P1	  instr15	     GOLD
 1900	 P5	  instr19	     GOLD
 1950	 P5	     exit	     GOLD
 1970	 P2	     exit	     GOLD
 1990	 P1	  instr18	     GOLD
 2050	 P1	   instr3	     GOLD
 2120	 P1	   instr2	 PLATINUM
 2200	 P1	     exit	 PLATINUM
1290
1805
